image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.901378,bus,van,False
drive_022,2,3,0.815419,car,car,True
drive_022,3,1,0.903546,car,car,True
drive_022,4,4,0.807851,car,car,True
drive_022,5,5,0.885793,truck,bus,False
drive_033,1,1,0.969936,bus,van,False
drive_033,2,11,0.918855,car,car,True
drive_033,3,12,0.963065,bus,van,False
drive_033,4,2,0.787668,truck,bus,False
drive_033,5,7,0.894257,car,car,True
drive_033,6,3,0.874887,truck,car,False
drive_033,7,5,0.862866,truck,car,False
drive_033,8,9,0.883135,car,car,True
drive_033,10,8,0.864749,car,car,True
drive_033,11,6,0.822584,car,car,True
drive_033,14,4,0.775171,car,car,True
drive_038,1,5,0.96068,truck,bus,False
drive_038,2,8,0.859369,car,car,True
drive_038,3,7,0.86597,car,car,True
drive_038,4,6,0.84086,car,car,True
drive_038,5,13,0.869853,car,car,True
drive_038,6,9,0.883083,truck,bus,False
drive_038,7,12,0.756896,car,car,True
drive_038,8,11,0.861847,car,car,True
drive_038,9,10,0.87063,car,car,True
drive_038,10,15,0.889148,van,truck,False
drive_038,11,14,0.908851,car,car,True
drive_038,12,2,0.935256,car,car,True
drive_038,13,1,0.964049,car,car,True
drive_038,14,3,0.936594,car,car,True
drive_038,15,4,0.91151,car,car,True
drive_038,35,17,0.925667,car,car,True
drive_038,36,16,0.897841,car,car,True
drive_008,1,16,0.925002,car,car,True
drive_008,2,11,0.933642,car,car,True
drive_008,3,12,0.887098,van,truck,False
drive_008,4,4,0.946851,car,car,True
drive_008,5,6,0.889092,car,car,True
drive_008,6,3,0.92525,van,truck,False
drive_008,7,2,0.935281,car,car,True
drive_008,9,5,0.815108,van,truck,False
drive_008,10,1,0.791272,truck,bus,False
drive_008,16,15,0.177972,car,car,True
drive_008,17,14,0.858122,car,car,True
drive_008,18,13,0.776771,car,car,True
drive_008,19,7,0.84563,car,car,True
drive_008,20,9,0.966784,bus,van,False
